Város;Megye;Lakosság (fő);Terület (km²);Tszf. Magasság;cimerFajl;cimerUrl
Baja;Bács-Kiskun;32 759;177,61;75;HUN_Baja_Címer.svg;https://hu.wikipedia.org/wiki/Baja#/media/F%C3%A1jl:HUN_Baja_C%C3%ADmer.svg
Békéscsaba;Békés;54 460;193,94;89;HUN_Békéscsaba_Címer.svg;https://hu.wikipedia.org/wiki/B%C3%A9k%C3%A9scsaba#/media/F%C3%A1jl:HUN_B%C3%A9k%C3%A9scsaba_C%C3%ADmer.svg
Debrecen;Hajdú-Bihar;201 704;461,66;121;Coa_Hungary_Town_Debrecen.svg;https://hu.wikipedia.org/wiki/Debrecen#/media/F%C3%A1jl:Coa_Hungary_Town_Debrecen.svg
Dunaújváros;Fejér;41 394;52,66;97;Dunaújváros.svg;https://hu.wikipedia.org/wiki/Duna%C3%BAjv%C3%A1ros#/media/F%C3%A1jl:Duna%C3%BAjv%C3%A1ros.svg
Eger;Heves;49 499;92,21;165;Blason_ville_hu_EGER.svg;https://hu.wikipedia.org/wiki/Eger#/media/F%C3%A1jl:Blason_ville_hu_EGER.svg
Esztergom;Komárom-Esztergom;28 642;100,35;105;BlasonHU-esztergom.svg;https://hu.wikipedia.org/wiki/Esztergom#/media/F%C3%A1jl:BlasonHU-esztergom.svg
Érd;Pest;71 338;60,54;-;Coat_of_arms_of_Érd.svg;https://hu.wikipedia.org/wiki/%C3%89rd#/media/F%C3%A1jl:Coat_of_arms_of_%C3%89rd.svg
Győr;Győr-Moson-Sopron;130 191;174,62;108;HUN_Győr_Címer.svg;https://hu.wikipedia.org/wiki/Gy%C5%91r#/media/F%C3%A1jl:HUN_Gy%C5%91r_C%C3%ADmer.svg
Hódmezővásárhely;Csongrád-Csanád;41 781;487,98;-;HUN_Hódmezővásárhely_Címer.svg;https://hu.wikipedia.org/wiki/H%C3%B3dmez%C5%91v%C3%A1s%C3%A1rhely#/media/F%C3%A1jl:HUN_H%C3%B3dmez%C5%91v%C3%A1s%C3%A1rhely_C%C3%ADmer.svg
Kaposvár;Somogy;58 830;113,59;153;HUN_Kaposvár_Címer.svg;https://hu.wikipedia.org/wiki/Kaposv%C3%A1r#/media/F%C3%A1jl:HUN_Kaposv%C3%A1r_C%C3%ADmer.svg
